Gene Name,UniProt Entry
AAK1,Q2M2I8
ABL1,P00519
ABL2,P42684
ACVR1,Q04771
ACVR1B,P36896
ACVR2A,P27037
ACVR2B,Q13705
ACVRL1,P37023
ADCK3,Q8NI60
ADCK4,Q96D53
AKT1,P31749
AKT2,P31751
AKT3,Q9Y243
ALK,Q9UM73
ANKK1,Q8NFD2
ARK5,O60285
ASK1,Q99683
ASK2,O95382
AURKA,O14965
AURKB,Q6NW76
AURKC,Q9UQB9
AXL,P30530
BIKE,Q9NSY1
BLK,P51451
BMPR1A,P36894
BMPR1B,O00238
BMPR2,Q13873
BMX,P51813
BRAF,P15056
BRK,Q13882
BRSK1,Q8TDC3
BRSK2,D3ZML2
BTK,Q06187
CAMK1,Q14012
CAMK1D,Q8IU85
CAMK1G,Q96NX5
CAMK2A,Q9UQM7
CAMK2B,Q13554
CAMK2D,Q13557
CAMK2G,P11730
CAMK4,P13234
CAMKK1,Q8N5S9
CAMKK2,Q96RR4
CASK,O14936
CDC2L1,P21127
CDC2L2,Q9UQ88
CDC2L5,Q14004
CDK11,Q9BWU1
CDK2,P24941
CDK3,Q00526
CDK5,Q00535
CDK7,P50613
CDK8,P49336
CDK9,P50750
CDKL1,Q00532
CDKL2,Q92772
CDKL3,Q8IVW4
CDKL5,O76039
CHEK1,O14757
CHEK2,O96017
CIT,O14578
CLK1,P49759
CLK2,P49760
CLK3,P49761
CLK4,Q9HAZ1
CSF1R,P07333
CSK,P41240
CSNK1A1,P48729
CSNK1A1L,Q8N752
CSNK2A1,P68400
CSNK2A2,P19784
CTK,P42679
DAPK1,P53355
DAPK2,Q9UIK4
DAPK3,O43293
DCAMKL1,O15075
DCAMKL2,Q8N568
DCAMKL3,Q9C098
DDR1,Q08345
DDR2,Q16832
DLK,P80370
DMPK,Q09013
DMPK2,Q6DT37
DRAK1,Q9UEE5
DRAK2,O94768
DYRK1A,Q13627
DYRK1B,Q9Y463
DYRK2,Q92630
EGFR,P00533
EIF2AK1,Q9BQI3
EPHA1,P21709
EPHA2,P29317
EPHA3,P29320
EPHA4,P54764
EPHA5,P54756
EPHA6,Q9UF33
EPHA7,Q15375
EPHA8,P29322
EPHB1,Q8CBF3
EPHB2,P29323
EPHB3,P54753
EPHB4,P54760
EPHB6,O15197
ERBB2,P04626
ERBB3,P21860
ERBB4,Q15303
ERK1,P27361
ERK2,P28482
ERK3,Q16659
ERK4,P31152
ERK5,Q13164
ERK8,Q8TD08
ERN1,O75460
FAK,Q05397
FER,P16591
FES,P07332
FGFR1,Q04589
FGFR2,P21802
FGFR3,P22607
FGFR4,P22455
FGR,P09769
FLT1,P17948
FLT3,P36888
FLT4,P35916
FRK,P42685
FYN,P06241
GAK,O14976
GRK1,Q15835
GRK4,P32298
GRK7,Q8WTQ7
GSK3A,P49840
GSK3B,P49841
HCK,P08631
HIPK1,Q86Z02
HIPK2,Q9H2X6
HIPK3,Q9H422
HIPK4,Q8NE63
HPK1,Q92918
HUNK,P57058
ICK,Q9UPZ9
IGF1R,P08069
IKK-alpha,B0LXP6
IKK-beta,Q5D0E0
IKK-epsilon,F7A8T7
INSR,P06213
INSRR,P14616
IRAK1,P51617
IRAK3,Q9Y616
IRAK4,Q9NWZ3
ITK,Q08881
JNK1,Q9DGD9
JNK2,P45984
JNK3,P53779
KIT,P10721
LATS1,O95835
LATS2,Q9NRM7
LCK,P06239
LIMK1,P53667
LIMK2,P53671
LKB1,Q15831
LOK,O94804
LRRK2,Q5S007
LTK,P29376
LYN,P07948
LZK,O43283
MAK,P20794
MAP3K1,Q13233
MAP3K15,Q6ZN16
MAP3K2,Q9Y2U5
MAP3K3,Q99759
MAP3K4,Q9Y6R4
MAP4K2,Q12851
MAP4K3,Q8IVH8
MAP4K4,O95819
MAP4K5,Q9Y4K4
MAPKAPK2,P49137
MAPKAPK5,Q8IW41
MARK1,Q9P0L2
MARK2,Q7KZI7
MARK3,P27448
MARK4,Q96L34
MAST1,Q7Z460
MEK1,Q02750
MEK2,P36507
MEK3,P46734
MEK4,P45985
MEK5,Q13163
MEK6,P52564
MELK,Q14680
MERTK,Q12866
MET,P08581
MINK,Q8N4C8
MKK7,Q8CE90
MKNK1,Q9BUB5
MKNK2,Q9HBH9
MLCK,Q32MK0
MLK1,P80192
MLK2,Q02779
MLK3,Q16584
MRCKA,U6DL86
MRCKB,R0M6W4
MST1,Q13043
MST1R,Q04912
MST2,Q13188
MST3,Q9Y6E0
MST4,Q9P289
MTOR,P42345
MUSK,O15146
MYLK,Q15746
MYLK2,Q9H1R3
MYLK4,Q86YV6
MYO3A,Q8NEV4
MYO3B,Q8WXR4
NDR1,Q15208
NDR2,Q9Y2H1
NEK1,Q96PY6
NEK11,Q8NG66
NEK2,P51955
NEK3,P51956
NEK5,Q6P3R8
NEK7,Q8TDX7
NIM1,Q8IY84
OSR1,Q8TAX0
PAK1,Q13153
PAK2,Q13177
PAK3,O75914
PAK4,O96013
PAK6,Q9NQU5
PAK7,Q9P286
PCTK1,Q00536
PCTK2,Q00537
PCTK3,Q07002
PDGFRA,P16234
PDGFRB,P09619
PDPK1,O15530
PFTK1,O94921
PHKG1,Q16816
PHKG2,P15735
PIK3C2B,O00750
PIK3C2G,O75747
PIK3CA,P42336
PIK3CB,P42338
PIK3CD,O00329
PIK3CG,P48736
PIK4CB,Q9UBF8
PIM1,P11309
PIM2,Q9P1W9
PIM3,Q86V86
PIP5K1A,Q99755
PIP5K1C,O60331
PIP5K2B,P78356
PIP5K2C,Q8TBX8
PKMYT1,Q99640
PKN1,Q16512
PKN2,Q16513
PLK1,P53350
PLK2,Q9NYY3
PLK3,Q9H4B4
PLK4,O00444
PRKCD,Q05655
PRKCE,Q02156
PRKCH,P24723
PRKCI,P41743
PRKCQ,Q04759
PRKD1,Q15139
PRKD2,Q9BZL6
PRKD3,O94806
PRKG1,Q13976
PRKG2,Q13237
PRKR,P19525
PRKX,P51817
PRP4,O43172
PYK2,Q14289
QSK,Q9Y2K2
RAF1,P04049
RET,P07949
RIOK1,Q9BRS2
RIOK2,Q9BVS4
RIOK3,O14730
RIPK1,Q13546
RIPK2,Q3SZJ2
RIPK4,P57078
RIPK5,Q4VSN1
ROCK1,Q13464
ROCK2,O75116
ROS1,P08922
S6K1,P42818
SBK1,Q52WX2
SGK3,Q96BR1
SIK,P57059
SIK2,Q9H0K1
SLK,Q9H2G2
SNARK,Q9H093
SNRK,Q9NRH2
SRC,P12931
SRMS,Q9H3Y6
SRPK1,Q96SB4
SRPK2,P78362
SRPK3,Q9UPE1
STK16,O75716
STK33,Q9BYT3
STK35,Q8TDR2
STK36,Q9NRP7
STK39,Q9UEW8
SYK,P43405
SgK110,P0C264
TAK1,O43318
TAOK1,Q7L7X3
TAOK2,Q6ZQ29
TAOK3,Q8BYC6
TBK1,Q9UHD2
TEC,P42680
TESK1,Q15569
TGFBR1,P36897
TGFBR2,P37173
TIE1,P35590
TIE2,Q02763
TLK1,Q9UKI8
TLK2,Q86UE8
TNIK,Q9UKE5
TNK1,Q13470
TNK2,Q07912
TNNI3K,Q59H18
TRKA,P04629
TRKB,Q16620
TRKC,Q16288
TRPM6,Q9BX84
TSSK1B,Q3SZW1
TTK,P33981
TXK,P42681
TYRO3,Q06418
ULK1,O75385
ULK2,Q8IYT8
ULK3,Q6PHR2
VEGFR2,P35968
VRK2,Q86Y07
WEE1,P30291
WEE2,P0C1S8
YANK1,Q8WU08
YANK2,Q9NY57
YANK3,Q86UX6
YES,P07947
YSK1,O00506
YSK4,Q56UN5
ZAK,Q9NYL2
ZAP70,P43403
p38-alpha,A0A8J0UHZ4
p38-beta,A0A8J0UMT9
