Query,PubChem CID,Molecular Weight,Molecular Formula
CHEMBL100102,44328638,326.4,C18H22N4O2
CHEMBL101311,4475481,448.3,C21H23Cl2N5O2
CHEMBL101683,9797919,337.8,C19H16ClN3O
CHEMBL102301,9890746,467.5,C23H25N5O4S
CHEMBL102346,10907042,485.5,C27H27N5O4
CHEMBL103055,10207821,512.6,C30H32N4O4
CHEMBL104067,11048367,435.5,C24H29N5O3
CHEMBL104466,9796455,303.36,C16H21N3O3
CHEMBL106966,10905857,418.4,C22H22N6O3
CHEMBL1076721,135685787,295.30,C15H13N5O2
CHEMBL1080902,135934877,324.33,C17H16N4O3
CHEMBL1080994,45375865,512.6,C28H28N6O2S
CHEMBL1080995,45375866,526.7,C29H30N6O2S
CHEMBL1081198,11755812,503.5,C26H20F3N7O
CHEMBL1081312,24905142,319.4,C17H17N7
CHEMBL1082152,11560568,409.4,C22H20FN3O4
CHEMBL1082440,9885023,319.4,C16H21N3O2S
CHEMBL1084546,11713159,507.5,C21H20F3N7O3S
CHEMBL1085511,24762205,499.6,C28H33N7O2
CHEMBL1086736,135976660,295.30,C15H13N5O2
CHEMBL1087397,24884503,515.5,C29H24F3N5O
CHEMBL1087421,44138048,340.6,C16H12Cl3NO
CHEMBL1087650,46880136,474.6,C29H26N6O
CHEMBL1088633,44138049,306.2,C16H13Cl2NO
CHEMBL1089082,24822704,459.4,C25H16F3N5O
CHEMBL1090143,46865419,476.5,C25H15F3N4OS
CHEMBL1090356,46886319,587.7,C33H29N7O2S
CHEMBL1090360,46886323,587.7,C33H29N7O2S
CHEMBL1091356,46866604,640.8,C35H44N8O4
CHEMBL1092754,44541014,455.5,C26H21N3O5
CHEMBL1094408,24993189,448.5,C23H28N8O2
CHEMBL1095626,44605035,437.5,C22H27N7O3
CHEMBL1095627,44605037,479.6,C25H33N7O3
CHEMBL111779,44340751,592.6,C29H28N4O10
CHEMBL111889,44340971,592.6,C29H28N4O10
CHEMBL112235,22671105,608.6,C29H28N4O11
CHEMBL112239,44340974,624.6,C29H28N4O12
CHEMBL112263,9927800,338.4,C18H18N4O3
CHEMBL112346,20579089,450.5,C24H30N6O3
CHEMBL112602,44340902,608.6,C29H28N4O11
CHEMBL113,2519,194.19,C8H10N4O2
CHEMBL113185,15550318,396.4,C20H24N6O3
CHEMBL115220,449087,291.3,C18H17N3O
CHEMBL115531,10369873,534.7,C33H38N6O
CHEMBL115769,9819053,334.3,C19H15FN4O
CHEMBL1159459,46905117,956.7,C41H32O27
CHEMBL1159460,46905118,954.7,C41H30O27
CHEMBL1159461,46905119,650.5,C27H22O19
CHEMBL1159462,10349127,636.5,C27H24O18
CHEMBL1159463,11968981,788.6,C34H28O22
CHEMBL1159466,46905122,952.6,C41H28O27
CHEMBL1159467,46905123,1120.7,C48H32O32
CHEMBL1159468,46905124,802.6,C34H26O23
CHEMBL116070,9906347,349.20,C14H9BrN2O2S
CHEMBL1163016,46179972,499.6,C28H31N6O3
CHEMBL1164180,46871637,503.0,C25H26ClF3N6
CHEMBL1164265,46906669,470.9,C24H25ClF2N6
CHEMBL116963,24955953,508.7,C31H36N6O
CHEMBL1172957,46898022,375.4,C15H17N7O3S
CHEMBL1173055,9931954,323.4,C19H18FN3O
CHEMBL117443,44343747,446.6,C26H34N6O
CHEMBL117697,712193,251.28,C15H13N3O
CHEMBL1178727,13187667,188.25,C10H8N2S
CHEMBL118258,10005638,486.5,C25H29F3N6O
CHEMBL1190711,10200390,390.4,C20H18N6O3
CHEMBL120077,9797370,325.3,C18H16FN3O2
CHEMBL120185,9826083,472.6,C26H29FN8
CHEMBL1202927,11605551,489.0,C28H29ClN4O2
CHEMBL121405,44346053,436.5,C25H29FN4O2
CHEMBL1222044,9548013,339.3,C9H4F3N3O4S2
CHEMBL1230122,11406590,388.4,C19H18F2N4O3
CHEMBL1230607,46191454,361.5,C19H31N5O2
CHEMBL1230790,24905143,269.30,C14H15N5O
CHEMBL1233654,449240,291.37,C14H17N3O2S
CHEMBL1233881,24905153,325.4,C17H19N5O2
CHEMBL1233882,24905152,304.3,C17H16N6
CHEMBL1233887,9860448,278.31,C16H14N4O
CHEMBL1234815,24905144,275.31,C16H13N5
CHEMBL1234833,25125014,385.5,C20H27N5O3
CHEMBL1236126,11987888,440.4,C22H24N4O6
CHEMBL1240544,24905324,318.76,C14H15ClN6O
CHEMBL1240545,24905166,292.34,C16H16N6
CHEMBL1240553,24905189,339.4,C18H21N5O2
CHEMBL1240554,24905296,353.4,C19H23N5O2
CHEMBL1240565,24905210,265.27,C13H11N7
CHEMBL1240566,24905209,264.29,C14H12N6
CHEMBL1241241,135750268,269.30,C14H15N5O
CHEMBL1241270,24905285,241.25,C12H11N5O
CHEMBL1241271,24905290,255.28,C13H13N5O
CHEMBL1241299,24905331,320.14,C12H10BrN5O
CHEMBL1241300,24905286,257.25,C12H11N5O2
CHEMBL1241301,24905291,271.27,C13H13N5O2
CHEMBL1241390,24905170,254.29,C13H14N6
CHEMBL1241391,24905171,255.28,C12H13N7
CHEMBL1241439,24905158,271.27,C13H13N5O2
CHEMBL1241473,9891182,440.4,C20H20N6O6
CHEMBL1241481,24905150,398.5,C20H26N6O3
CHEMBL1241482,24905308,402.4,C21H15FN6O2
CHEMBL1241483,24905175,301.32,C15H16FN5O
CHEMBL1241484,24905295,303.75,C14H14ClN5O
CHEMBL1241485,24905251,298.34,C15H18N6O
CHEMBL1241486,24905198,356.4,C18H24N6O2
CHEMBL1241487,24905281,310.35,C16H18N6O
CHEMBL1241490,24905195,293.32,C16H15N5O
CHEMBL1241491,24905196,319.4,C18H17N5O
CHEMBL1241492,24905165,295.30,C14H13N7O
CHEMBL1241578,24905145,348.20,C14H14BrN5O
CHEMBL1241580,24905326,315.76,C15H14ClN5O
CHEMBL1241581,24905183,324.4,C17H20N6O
CHEMBL1241582,24905344,283.33,C15H17N5O
CHEMBL1241583,24905167,292.34,C16H16N6
CHEMBL1241586,24905241,309.33,C15H15N7O
CHEMBL1241587,24905194,295.34,C16H17N5O
CHEMBL1241588,24905172,311.34,C16H17N5O2
CHEMBL1241675,24905148,319.4,C17H17N7
CHEMBL1241676,24905300,329.78,C16H16ClN5O
CHEMBL1241677,24905312,330.77,C15H15ClN6O
CHEMBL1241678,24905317,331.76,C15H14ClN5O2
CHEMBL1241679,24905160,278.31,C15H14N6
CHEMBL1241680,24905236,296.30,C15H13FN6
CHEMBL1241681,24905205,330.4,C19H18N6
CHEMBL1241682,24905208,318.4,C18H18N6
CHEMBL1241683,24905216,338.8,C17H15ClN6
CHEMBL1241684,24905163,337.4,C17H15N5OS
CHEMBL1241767,24905149,489.5,C28H23N7O2
CHEMBL1241769,24905304,344.80,C16H17ClN6O
CHEMBL1241770,24905305,344.80,C16H17ClN6O
CHEMBL1241771,24905237,296.30,C15H13FN6
CHEMBL1241772,24905341,279.30,C14H13N7
CHEMBL1241773,24905155,295.34,C16H17N5O
CHEMBL1241774,24905218,305.34,C16H15N7
CHEMBL1241775,24905225,306.33,C15H14N8
CHEMBL1241776,135947976,321.34,C16H15N7O
CHEMBL1241858,24905299,358.8,C17H19ClN6O
CHEMBL1241859,24905303,358.8,C17H19ClN6O
CHEMBL1241860,24905238,299.30,C15H14FN5O
CHEMBL1241861,24905235,317.29,C15H13F2N5O
CHEMBL1241862,52942235,330.77,C15H15ClN6O
CHEMBL1241863,24905226,320.3,C17H16N6O
CHEMBL1241864,24905227,346.4,C19H18N6O
CHEMBL1241943,52943394,372.9,C18H21ClN6O
CHEMBL1241944,24905240,294.31,C15H14N6O
CHEMBL1241945,135947972,287.29,C14H14FN5O
CHEMBL1241946,52945845,295.34,C16H17N5O
CHEMBL1241947,24905157,301.37,C14H15N5OS
CHEMBL1241948,24905159,346.4,C15H18N6O2S
CHEMBL1241949,24905232,319.4,C17H17N7
CHEMBL1241950,24905228,334.4,C17H18N8
CHEMBL1242024,135947973,283.33,C15H17N5O
CHEMBL1242025,24905284,331.4,C19H17N5O
CHEMBL1242026,24905287,283.33,C15H17N5O
CHEMBL1242027,24905176,319.31,C15H15F2N5O
CHEMBL1242028,135947974,305.28,C14H13F2N5O
CHEMBL1242029,24905169,283.33,C15H17N5O
CHEMBL1242030,24905161,346.4,C15H18N6O2S
CHEMBL1242031,24905162,332.38,C14H16N6O2S
CHEMBL1242032,24905338,332.38,C14H16N6O2S
CHEMBL1242033,24905231,419.5,C22H25N7O2
CHEMBL1242034,24905233,319.4,C17H17N7
CHEMBL1242109,24905289,297.35,C16H19N5O
CHEMBL1242110,24905180,287.29,C14H14FN5O
CHEMBL1242111,24905181,313.33,C16H16FN5O
CHEMBL1242112,135947978,299.33,C15H17N5O2
CHEMBL1242113,24905293,285.30,C14H15N5O2
CHEMBL1242114,24905288,299.33,C15H17N5O2
CHEMBL1242115,24905154,381.5,C18H19N7OS
CHEMBL1242117,24905234,293.28,C15H11N5O2
CHEMBL1242118,24905229,321.33,C17H15N5O2
CHEMBL1242119,24905230,347.4,C19H17N5O2
CHEMBL1242198,24905342,287.29,C14H14FN5O
CHEMBL1242199,24905182,313.33,C16H16FN5O
CHEMBL1242200,24905184,362.22,C15H16BrN5O
CHEMBL1242201,24905294,325.4,C17H19N5O2
CHEMBL1242202,24905316,339.4,C18H21N5O2
CHEMBL1242203,24905313,312.33,C15H16N6O2
CHEMBL1242207,24905215,304.3,C17H16N6
CHEMBL1242208,24905217,304.3,C17H16N6
CHEMBL1242209,24905219,318.4,C18H18N6
CHEMBL1242285,24905186,348.20,C14H14BrN5O
CHEMBL1242286,24905336,392.25,C16H18BrN5O2
CHEMBL1242287,24905332,360.21,C15H14BrN5O
CHEMBL1242288,24905311,326.35,C16H18N6O2
CHEMBL1242289,24905197,339.4,C18H21N5O2
CHEMBL1242290,24905343,313.35,C16H19N5O2
CHEMBL1242293,24905202,293.33,C15H15N7
CHEMBL1242294,24905188,292.34,C16H16N6
CHEMBL1242295,24905193,318.4,C18H18N6
CHEMBL1242373,6540027,401.5,C22H19N5OS
CHEMBL1242376,24905333,374.23,C16H16BrN5O
CHEMBL1242377,24905280,287.29,C14H14FN5O
CHEMBL1242378,24905321,302.31,C14H15FN6O
CHEMBL1242379,24905330,327.4,C17H21N5O2
CHEMBL1242380,24905335,343.4,C17H21N5O3
CHEMBL1242384,24905221,306.4,C17H18N6
CHEMBL1242385,24905222,332.4,C19H20N6
CHEMBL1242386,24905223,293.33,C15H15N7
CHEMBL1242469,24905328,312.30,C15H13FN6O
CHEMBL1242470,24905329,326.33,C16H15FN6O
CHEMBL1242471,24905292,285.30,C14H15N5O2
CHEMBL1242472,24905282,327.4,C17H21N5O2
CHEMBL1242475,24905224,319.4,C17H17N7
CHEMBL1242476,24905239,308.34,C15H16N8
CHEMBL1242477,24905203,293.33,C15H15N7
CHEMBL1242566,24905325,299.30,C15H14FN5O
CHEMBL1242567,24905314,300.29,C14H13FN6O
CHEMBL1242568,24905302,313.33,C16H16FN5O
CHEMBL1242569,24905297,325.4,C17H19N5O2
CHEMBL1242572,24905206,319.4,C17H17N7
CHEMBL1242573,24905244,311.32,C15H14FN7
CHEMBL1242574,24905201,292.34,C16H16N6
CHEMBL1242656,24905315,327.36,C17H18FN5O
CHEMBL1242657,24905309,314.32,C15H15FN6O
CHEMBL1242659,24905298,367.4,C20H25N5O2
CHEMBL1242660,24905177,343.4,C17H21N5O3
CHEMBL1242661,24905207,319.4,C18H17N5O
CHEMBL1242662,135947979,319.4,C18H17N5O
CHEMBL1242663,24905220,338.8,C17H15ClN6
CHEMBL1242664,24905212,318.4,C18H18N6
CHEMBL1242665,24905246,293.33,C15H15N7
CHEMBL1242666,52945348,320.3,C17H16N6O
CHEMBL1242748,24905319,315.30,C15H14FN5O2
CHEMBL1242750,24905327,341.4,C18H20FN5O
CHEMBL1242751,24905178,313.35,C16H19N5O2
CHEMBL1242752,52945630,327.4,C17H21N5O2
CHEMBL1242753,52940797,329.35,C16H19N5O3
CHEMBL1242754,24905200,304.3,C17H16N6
CHEMBL1242755,24905211,330.4,C19H18N6
CHEMBL1242756,24905204,276.30,C15H12N6
CHEMBL1242757,24905190,292.34,C16H16N6
CHEMBL1242758,24905191,318.4,C18H18N6
CHEMBL1242844,24905301,342.4,C17H19FN6O
CHEMBL1242845,24905307,416.4,C21H17FN8O
CHEMBL1242846,24905179,315.33,C14H17N7O2
CHEMBL1242847,24905168,283.33,C15H17N5O
CHEMBL1242848,24905252,284.32,C14H16N6O
CHEMBL1242852,24905185,392.5,C21H24N6O2
CHEMBL1242853,24905187,418.5,C23H26N6O2
CHEMBL1242977,46929544,479.5,C25H20F3N5O2
CHEMBL1243200,46929748,488.5,C29H24N6O2
CHEMBL1243326,46929857,515.5,C30H22FN7O
CHEMBL1254007,15949613,445.4,C21H15F4N5O2
CHEMBL1258913,11847343,544.7,C29H32N6O3S
CHEMBL125898,10231458,564.7,C30H40N6O5
CHEMBL1270230,24809764,279.30,C15H13N5O
CHEMBL1270399,46868971,438.6,C21H26N8OS
CHEMBL1270795,25094210,343.4,C14H13N7S2
CHEMBL1271480,50899556,417.5,C23H23N5O3
CHEMBL1271532,52945752,390.4,C21H22N6O2
CHEMBL1271533,52945753,416.5,C23H24N6O2
CHEMBL1271641,52944268,432.5,C24H24N4O4
CHEMBL1271642,52941849,347.3,C15H13N3O5S
CHEMBL1271692,52947964,332.34,C14H12N4O4S
CHEMBL1272116,49765254,441.0,C22H29ClN8
CHEMBL1272171,49840306,474.5,C23H29F3N8
CHEMBL127277,465921,327.3,C20H13N3O2
CHEMBL127898,44352395,519.5,C27H20F3N5O3
CHEMBL127929,5329660,260.3,C9H12N2O3S2
CHEMBL1288582,136183413,264.28,C15H12N4O
CHEMBL129,35370,267.24,C10H13N5O4
CHEMBL1290072,50908681,304.3,C19H16N2O2
CHEMBL1290746,49838879,420.4,C21H17FN6O3
CHEMBL129946,44353122,494.6,C30H30N4O3
CHEMBL130049,44352928,524.6,C30H28N4O5
CHEMBL130163,44352951,508.6,C30H28N4O4
CHEMBL130181,44352847,482.5,C28H26N4O4
CHEMBL130208,44352930,615.6,C35H29N5O6
CHEMBL131020,44352818,544.6,C29H28N4O5S
CHEMBL131193,44352770,556.7,C35H32N4O3
CHEMBL131426,44352772,519.6,C31H29N5O3
CHEMBL131456,44352791,642.7,C38H34N4O6
CHEMBL131577,9927718,335.8,C15H14ClN3O2S
CHEMBL131590,44352914,605.1,C35H29ClN4O4
CHEMBL131715,44352785,605.1,C35H29ClN4O4
CHEMBL132169,44352844,600.7,C36H32N4O5
CHEMBL132170,44352845,660.6,C35H28N6O8
CHEMBL132348,44353100,524.6,C30H28N4O5
CHEMBL132533,44355298,578.5,C28H26N4O10
CHEMBL134536,44355373,592.6,C29H28N4O10
CHEMBL135881,44355300,608.6,C29H28N4O11
CHEMBL1375418,2727469,315.4,C19H17N5
CHEMBL1375640,2744272,332.8,C15H13ClN4OS
CHEMBL1381197,6620116,335.8,C18H14ClN5
CHEMBL139517,5480817,394.2,C20H9Cl2N3O2
CHEMBL140600,9981346,453.4,C26H19N3O5
CHEMBL141247,445840,308.33,C17H16N4O2
CHEMBL1419458,1035509,375.3,C17H13N9O2
CHEMBL14217,44269404,323.7,C17H10ClN3O2
CHEMBL1421720,718180,274.4,C13H10N2OS2
CHEMBL142425,9863786,362.4,C21H19FN4O
CHEMBL143703,221427,213.23,C12H11N3O
CHEMBL14445,44269392,200.21,C12H9FN2
CHEMBL144479,44364058,482.5,C31H22N4O2
CHEMBL144598,44363906,496.6,C32H24N4O2
CHEMBL1448,4477,327.12,C13H8Cl2N2O4
CHEMBL1461728,6466450,255.25,C14H10FN3O
CHEMBL146564,44364138,408.4,C24H16N4O3
CHEMBL1472492,10436840,397.7,C27H45N2+
CHEMBL147986,44364178,406.4,C25H18N4O2
CHEMBL148333,3540,265.33,C12H15N3O2S
CHEMBL148471,11809063,310.3,C21H14N2O
CHEMBL150894,10275001,440.5,C28H28N2O3
CHEMBL151546,5329656,344.8,C15H9ClN4O2S
CHEMBL1516890,16219401,275.30,C17H13N3O
CHEMBL153843,6398883,371.4,C20H16F3N3O
CHEMBL154620,44370466,694.5,C33H32BrN3O9
CHEMBL156776,44370150,691.3,C29H22BrCl2N3O8
CHEMBL160030,44375773,328.4,C16H16N4O2S
CHEMBL1614705,10364560,415.8,C20H19ClFN5O2
CHEMBL1614725,11620908,548.0,C26H25ClF3N5O3
CHEMBL161832,15289411,404.5,C22H20N4O2S
CHEMBL1624529,481696,416.4,C20H15F3N4O3
CHEMBL162621,44376059,485.6,C25H19N5O2S2
CHEMBL162903,20079626,426.5,C24H18N4O2S
CHEMBL163269,49796826,535.5,C26H23BrN4O2S
CHEMBL163629,44375702,484.5,C26H20N4O4S
CHEMBL1650533,53317913,463.0,C20H27ClN8OS
CHEMBL1650545,25145145,416.5,C18H18F2N8S
CHEMBL1650551,52920796,454.9,C18H19ClF2N8S
CHEMBL1651521,53324451,348.4,C19H24O6
CHEMBL1651523,49842779,332.4,C19H24O5
CHEMBL1668418,49842666,330.4,C19H22O5
CHEMBL1682341,25165085,275.31,C16H13N5
CHEMBL1682345,25165861,275.31,C16H13N5
CHEMBL1682346,25164469,290.32,C16H14N6
CHEMBL1682357,25164675,275.30,C17H13N3O
CHEMBL1682358,25165278,290.32,C17H14N4O
CHEMBL1682359,25164677,227.26,C13H13N3O
CHEMBL1682360,25165081,282.34,C16H18N4O
CHEMBL1682540,25167280,235.24,C13H9N5
CHEMBL1682545,25167075,292.4,C16H12N4S
CHEMBL1682546,25167078,306.4,C17H14N4S
CHEMBL1682552,25167072,332.4,C19H20N6
CHEMBL1682553,25167074,292.34,C16H16N6
CHEMBL1682554,25167277,306.4,C17H18N6
CHEMBL1682558,25165481,391.4,C22H22FN5O
CHEMBL1684800,52938983,573.0,C27H24ClF3N6O3
CHEMBL1688215,46215814,226.24,C11H10N6
CHEMBL16958,3815,311.3,C20H13N3O
CHEMBL1727312,201327,210.23,C13H10N2O
CHEMBL17370,9841863,361.4,C21H16FN3S
CHEMBL1738710,11683817,449.8,C21H18ClF2N3O4
CHEMBL1738758,49792852,532.5,C24H27F3N8O3
CHEMBL175225,9795307,266.12,C13H9Cl2NO
CHEMBL1765740,46215815,462.6,C25H34N8O
CHEMBL1765781,52936621,473.6,C26H31N7O2
CHEMBL1766529,50997096,473.4,C23H22F3N5O3
CHEMBL1774056,53232451,355.3,C17H15F2N7
CHEMBL177688,5330387,355.8,C18H18ClN5O
CHEMBL177780,9999186,369.6,C23H47NO2
CHEMBL1779202,53357328,425.5,C27H27N3O2
CHEMBL1784637,46864270,582.6,C30H33F3N6O3
CHEMBL1784725,53257410,277.27,C17H11NO3
CHEMBL178737,11248978,496.5,C27H24N6O4
CHEMBL1788116,11422034,600.5,C24H18F6N6O4S
CHEMBL1802358,135398522,307.30,C17H13N3O3
CHEMBL1807446,10048045,425.5,C25H23N5O2
CHEMBL1813632,53357848,552.6,C30H18F2N4O3S
CHEMBL1822792,44137946,495.6,C24H25N5O5S
CHEMBL1823221,49806721,454.6,C28H30N4O2
CHEMBL1825138,11597571,450.3,C21H22Cl2FN5O
CHEMBL1834657,53235510,560.5,C26H31Cl2N7O3
CHEMBL1835870,11604142,419.5,C23H29N7O
CHEMBL183844,5329902,371.4,C23H21N3O2
CHEMBL184847,5329895,371.4,C23H21N3O2
CHEMBL185238,449054,287.32,C17H13N5
CHEMBL185569,5329880,357.4,C22H19N3O2
CHEMBL186290,44396134,508.6,C29H28N6O3
CHEMBL1879463,11977753,469.5,C30H23N5O
CHEMBL188386,5330388,369.8,C19H20ClN5O
CHEMBL188502,5330390,416.9,C23H21ClN6
CHEMBL1890036,3453237,378.3,C17H14N8O3
CHEMBL189338,9844320,407.9,C21H22ClN7
CHEMBL189584,1401,523.7,C28H41N7O3
CHEMBL189963,5330286,447.5,C24H29N7O2
CHEMBL190984,5330389,368.9,C19H21ClN6
CHEMBL191336,9863538,356.8,C17H17ClN6O
CHEMBL1916359,24896769,419.7,C20H10Cl3FN2O
CHEMBL1916891,57394653,432.5,C24H25FN6O
CHEMBL1922224,54764923,398.6,C27H42O2
CHEMBL1922225,10047202,410.6,C28H42O2
CHEMBL1929238,53384644,554.5,C25H33Cl2N5O3S
CHEMBL1933288,53246941,458.6,C26H30N6O2
CHEMBL1933538,57396882,418.5,C25H27FN4O
CHEMBL1933550,56835089,404.5,C24H25FN4O
CHEMBL1933551,57395116,414.5,C26H30N4O
CHEMBL1933552,57395117,432.5,C26H29FN4O
CHEMBL1933576,54759168,475.5,C22H24F3N7O2
CHEMBL1933582,25210579,501.5,C24H26F3N7O2
CHEMBL1934327,56835147,500.6,C28H29FN6O2
CHEMBL193697,5327966,534.5,C28H26N2O9
CHEMBL1938680,57401151,381.9,C21H20ClN3O2
CHEMBL194498,10073832,479.4,C20H17F4N7O3
CHEMBL1945559,54613583,363.2,C17H16Cl2N4O
CHEMBL1949788,57325478,361.8,C19H20ClNO4
CHEMBL1949855,135412869,180.59,C8H5ClN2O
CHEMBL195029,5330437,553.4,C28H26Cl2N4O4
CHEMBL195218,9893493,540.5,C22H26F2N6O6S
CHEMBL1956071,16095343,342.36,C15H18N8O2
CHEMBL1957085,56643097,309.32,C17H15N3O3
CHEMBL1957190,24764502,279.3,C18H17NO2
CHEMBL1958401,136027062,270.33,C15H18N4O
CHEMBL195903,11432911,557.5,C21H19F4N7O5S
CHEMBL196363,6539985,375.4,C20H17N5OS
CHEMBL1964290,24809769,307.35,C17H17N5O
CHEMBL1964307,11164136,356.4,C22H20N4O
CHEMBL1964382,5181561,637.87,C15H12Br2I2O2
CHEMBL1964399,49830730,425.5,C22H27N5O4
CHEMBL1964413,25166868,411.3,C18H11F6N5
CHEMBL1964441,11775063,441.5,C25H23N5OS
CHEMBL1964444,49830685,346.31,C17H13F3N4O
CHEMBL1964644,10286133,278.29,C11H10N4O3S
CHEMBL1964687,49830368,415.5,C23H21N5OS
